Monday,Tuesday,Wednesday,Thursday,Friday,Monday2,y
6750.76,6586.95,6502.07,6474.92,6780.96,6925.52,1
6925.52,6891.25,6912.81,6955.98,7173.22,7258.9,1
7258.9,7072.12,7091.04,7112.66,6992.75,6931.99,-1
6931.99,6809.64,6969.37,7126.13,7066.6,6835.6,-1
6835.6,7050.46,7171.95,7354.26,7444.61,7296.32,1
7296.32,7549.88,7629.11,7709.27,7611.55,7644.8,-1
7644.8,7396.13,7490.32,7580.53,7573.78,7590.53,-1
7590.53,7607.94,7698.97,7640.53,7738.68,7587.13,1
7587.13,7644.55,7727.93,7945.77,7960.03,7975.78,1
7975.78,8064.97,7987,7949.15,7975.95,7693.85,1
7693.85,7650.05,7414.46,7583.96,7710.92,7872.38,1
7872.38,7807.93,7798.62,7694.78,7932.42,7892.49,1
7892.49,7931.93,7864.76,7644.89,7599.39,7429.22,-1
7429.22,7522.8,7330.77,7446.21,7522.2,7516.95,1
7516.95,7442.66,7443.07,7449.06,7214.83,7187.14,-1
7408.09,7280.54,7120.86,7259.48,7269.28,7195.15,1
7195.15,7371.06,7211.51,7181.58,6989.03,6912.96,-1
6912.96,6927.69,6834.88,6978.87,6839.33,7016.66,-1
7408.02,7359.8,7285.93,7253.46,7246.79,7240.1,-1
7240.1,7268.91,7350.94,7328.62,7252.58,7198.8,-1
7198.8,7227.27,7100.09,7064.73,6980.41,7027.19,-1
7027.19,7048.96,7054.3,6881.94,6882.44,6962.02,1
6962.02,6944.36,6961.73,6972.8,7044.77,7066.22,1
7066.22,7006.05,7065.97,7166.51,7321.94,7430.7,1
7430.7,7406.91,7366.57,7480.14,7378.86,7314.2,-1
7314.2,7329.46,7268,7183.44,7128.3,7190.37,-1
7190.37,7145.53,7112.45,7011.74,7016.59,7113.22,1
7113.22,7143.96,7226.71,7280.97,7322.98,7331.67,1
7331.67,7307.43,7315.27,7278.43,7232.42,7199.34,-1
7199.34,7249.2,7232.78,7230.26,7307.17,7339.22,1
7339.22,7294.4,7192.69,7244.79,7344.67,7445.56,1
7445.56,7391.27,7329.9,7373.34,7261.04,7214.45,-1
7214.45,7135.75,7006.26,7049.82,6999.54,6891.69,-1
6891.69,6915.49,6765.23,6682.92,6740.25,6788.69,1
6788.69,6765.04,6814.06,6832.76,6798.12,6862.26,-1
6680.78,6673.15,6554.14,6465.26,6661.3,6627.25,1
6627.25,6531.71,6470.06,6619.43,6615.9,6620.87,-1
6620.87,6802.81,6748.22,6767.9,6924.68,6926.57,1
6926.57,7077.44,7059.07,7088.64,7128.27,7136.3,1
7136.3,7083.7,7010.2,6959.5,6851.69,6742.1,-1
6742.1,6966.65,6961.09,6811.49,6752.29,6605.53,-1
6605.53,6666.06,6510.54,6596.93,6664.18,6696.91,1
6696.91,6625.56,6598.32,6372.33,6512.91,6408.1,1
6408.1,6637.09,6622.25,6583.13,6691.25,6782.52,1
6782.52,6733.59,6620.21,6475.84,6331.3,6390.25,-1
6392.17,6404.52,6320.07,6465.21,6490.03,6522.87,1
6522.87,6502.89,6653.38,6635.76,6651.53,6675,1
6675,6722.41,6706.67,6727.49,6695.2,6750.96,-1
6750.96,6739.3,6795.14,6704.68,6638.2,6628.07,-1
6472.21,6451.57,6347.99,6277.99,6075.34,6189.07,-1
6189.07,6220.48,6208.24,6123.38,6159.02,6216.38,1
6216.38,6284.06,6305.64,6267.06,6204.42,6046.56,-1
6046.56,5962.93,5794.12,5889.95,5734.49,5657.29,-1
5657.29,5782.16,5622.09,5388.02,5544.67,5726.97,1
5726.97,5938.21,5817.52,5879.3,5829.95,5760.76,-1
5760.76,5553.46,5597.66,5773.34,5698.88,5781.01,-1
6051.48,6124.57,6115.19,6123.66,6175.24,6264.51,1
6122.62,6108.72,6063.94,6165.18,6141.02,6064.68,-1
6064.68,6070.38,6148.44,6173.81,6186.87,6249.87,1
6249.87,6270.59,6215.25,6278.9,6223.57,6216.83,-1
6216.83,6120.33,6041.22,6123.26,6125.17,6177.74,1
6177.74,6242.13,6192.44,6184.25,6187.21,6162.74,1
6162.74,6059.15,6111.94,6031.27,5915.18,5869.04,-1
5869.04,5922.53,5876.04,5926.38,5941.77,5902.32,1
5902.32,5847.79,5833.1,5971.77,6058.38,6109.5,1
6109.5,6056.84,6015.72,5999.19,5862.1,5869.86,-1
5869.86,5816.32,5801.8,5889.88,5928.01,5853.76,1
